name,year,director,budget,gross,profit,roi
the devil's double,2011,lee tamahori,19100000.0,5728213.0,-13371787.0,-70.0093560209424
another earth,2011,mike cahill,100000.0,1938783.0,1838783.0,1838.7830000000001
like crazy,2011,drake doremus,250000.0,3852409.0,3602409.0,1440.9636
what's your number?,2011,mark mylod,20000000.0,30426096.0,10426096.0,52.13048
gnomeo & juliet,2011,kelly asbury,36000000.0,193967670.0,157967670.0,438.79908333333333
puss in boots,2011,chris miller,130000000.0,554987477.0,424987477.0,326.9134438461538
beastly,2011,daniel barnz,17000000.0,43202283.0,26202283.0,154.13107647058823
bernie,2011,richard linklater,5000000.0,10173061.0,5173061.0,103.46122
season of the witch,2011,dominic sena,40000000.0,91627228.0,51627228.0,129.06807
silent house,2011,chris kentis,2000000.0,16527747.0,14527747.0,726.38735
winnie the pooh,2011,stephen j. anderson,30000000.0,49871429.0,19871429.0,66.23809666666666
hobo with a shotgun,2011,jason eisener,3000000.0,748453.0,-2251547.0,-75.05156666666667
the eagle,2011,kevin macdonald,25000000.0,37989684.0,12989684.0,51.958736
the rum diary,2011,bruce robinson,45000000.0,30134958.0,-14865042.0,-33.033426666666664
spy kids 4-d: all the time in the world,2011,robert rodriguez,27000000.0,85564310.0,58564310.0,216.90485185185184
the divide,2011,xavier gens,3000000.0,145676.0,-2854324.0,-95.14413333333334
red riding hood,2011,catherine hardwicke,42000000.0,90260376.0,48260376.0,114.90565714285714
the roommate,2011,christian e. christiansen,16000000.0,40492652.0,24492652.0,153.079075
monte carlo,2011,thomas bezucha,20000000.0,39782683.0,19782683.0,98.913415
the rite,2011,mikael håfström,37000000.0,96560591.0,59560591.0,160.97457027027028
new year's eve,2011,garry marshall,56000000.0,142044638.0,86044638.0,153.65113928571427
sound of my voice,2011,zal batmanglij,135000.0,424088.0,289088.0,214.13925925925926
w.e.,2011,madonna,15000000.0,2042203.0,-12957797.0,-86.38531333333333
extremely loud & incredibly close,2011,stephen daldry,40000000.0,55247881.0,15247881.0,38.1197025
alvin and the chipmunks: chipwrecked,2011,mike mitchell,75000000.0,342695435.0,267695435.0,356.9272466666667
our idiot brother,2011,jesse peretz,5000000.0,25804448.0,20804448.0,416.08896
sanctum,2011,alister grierson,30000000.0,108609310.0,78609310.0,262.0310333333333
the big year,2011,david frankel,41000000.0,8179416.0,-32820584.0,-80.05020487804877
straw dogs,2011,rod lurie,25000000.0,11168712.0,-13831288.0,-55.325152
red state,2011,kevin smith,4000000.0,1874460.0,-2125540.0,-53.1385
trespass,2011,joel schumacher,35000000.0,10117966.0,-24882034.0,-71.09152571428572
machine gun preacher,2011,marc forster,30000000.0,3338690.0,-26661310.0,-88.87103333333334
from up on poppy hill,2011,gorô miyazaki,22000000.0,61487846.0,39487846.0,179.4902090909091
30 minutes or less,2011,ruben fleischer,28000000.0,40662632.0,12662632.0,45.223685714285715
the iron lady,2011,phyllida lloyd,13000000.0,115890699.0,102890699.0,791.4669153846154
