id,title,year,director,rating,votes,metascore,budget,gross,profit,roi
827,shin gojira,2016,hideaki anno,6.9,8365,68.0,,,,
828,saving mr. banks,2013,john lee hancock,7.5,125693,65.0,35000000.0,117867984.0,82867984.0,236.76566857142856
829,transcendence,2014,wally pfister,6.3,184564,42.0,100000000.0,103039258.0,3039258.0,3.039258
830,rio,2011,carlos saldanha,6.9,173919,63.0,90000000.0,483866518.0,393866518.0,437.6294644444444
831,equals,2015,drake doremus,6.1,16361,43.0,16000000.0,2084628.0,-13915372.0,-86.971075
832,babel,2006,alejandro gonzález iñárritu,7.5,253417,69.0,,,,
833,the tree of life,2011,terrence malick,6.8,143517,85.0,32000000.0,58409247.0,26409247.0,82.528896875
834,the lucky one,2012,scott hicks,6.5,82874,39.0,25000000.0,99357138.0,74357138.0,297.428552
835,piranha 3d,2010,alexandre aja,5.5,75262,53.0,24000000.0,83188165.0,59188165.0,246.61735416666664
836,50/50,2011,jonathan levine,7.7,281625,72.0,8000000.0,41097853.0,33097853.0,413.7231625
837,the intent,2016,femi oyeniran,3.5,202,59.0,,,,
838,real steel,2011,shawn levy,7.1,264480,56.0,110000000.0,299268508.0,189268508.0,172.06228
839,sex and the city,2008,michael patrick king,5.5,102547,53.0,65000000.0,418765519.0,353765519.0,544.2546446153847
840,rambo,2008,sylvester stallone,7.1,187077,46.0,50000000.0,113244290.0,63244290.0,126.48858
841,planet terror,2007,robert rodriguez,7.1,174553,55.0,,,,
842,the fall,2006,tarsem singh,7.9,93036,64.0,30000000.0,3669465.0,-26330535.0,-87.76845
843,the ugly truth,2009,robert luketic,6.5,172558,28.0,38000000.0,321682600.0,283682600.0,746.5331578947369
844,bride wars,2009,gary winick,5.5,83976,24.0,30000000.0,115375850.0,85375850.0,284.58616666666666
845,sleeping with other people,2015,leslye headland,6.5,27730,64.0,,,,
846,snakes on a plane,2006,david r. ellis,5.6,118905,58.0,33000000.0,62022014.0,29022014.0,87.94549696969696
847,what if,2013,michael dowse,6.8,55243,59.0,11000000.0,8526288.0,-2473712.0,-22.488290909090907
848,how to train your dragon 2,2014,dean deblois,7.9,237565,76.0,145000000.0,621537519.0,476537519.0,328.6465648275862
849,robocop,2014,josé padilha,6.2,190833,52.0,100000000.0,242688965.0,142688965.0,142.688965
850,in dubious battle,2016,james franco,6.2,1455,43.0,,,,
851,"hello, my name is doris",2015,michael showalter,6.7,12361,63.0,1000000.0,14659448.0,13659448.0,1365.9448
852,ocean's thirteen,2007,steven soderbergh,6.9,269581,62.0,85000000.0,311312624.0,226312624.0,266.25014588235297
853,slither,2006,james gunn,6.5,64351,69.0,15000000.0,12834936.0,-2165064.0,-14.43376
854,contagion,2011,steven soderbergh,6.6,187004,70.0,60000000.0,136515867.0,76515867.0,127.526445
855,il racconto dei racconti - tale of tales,2015,matteo garrone,6.4,17565,72.0,,,,
856,i am the pretty thing that lives in the house,2016,oz perkins,4.7,4204,68.0,,,,
857,bridge to terabithia,2007,gabor csupo,7.2,117297,74.0,17000000.0,137587063.0,120587063.0,709.3356647058823
858,coherence,2013,james ward byrkit,7.2,66265,65.0,50000.0,139745.0,89745.0,179.48999999999998
859,notorious,2009,george tillman jr.,6.7,33007,60.0,20000000.0,44420167.0,24420167.0,122.100835
860,goksung,2016,hong-jin na,7.5,17962,81.0,,,,
861,the expendables 2,2012,simon west,6.6,257395,51.0,100000000.0,314975955.0,214975955.0,214.97595500000003
862,the girl next door,2007,gregory wilson,6.7,19351,29.0,,,,
863,perfume: the story of a murderer,2006,tom tykwer,7.5,199387,56.0,60000000.0,135039924.0,75039924.0,125.06654
864,the golden compass,2007,chris weitz,6.1,155078,51.0,180000000.0,372234864.0,192234864.0,106.79714666666666
865,centurion,2010,neil marshall,6.4,67801,62.0,12000000.0,6890432.0,-5109568.0,-42.57973333333334
866,scouts guide to the zombie apocalypse,2015,christopher landon,6.3,31651,32.0,15000000.0,16137046.0,1137046.0,7.580306666666667
867,17 again,2009,burr steers,6.4,152808,48.0,20000000.0,136316880.0,116316880.0,581.5844000000001
868,no escape,2015,john erick dowdle,6.8,57921,38.0,16200000.0,54418872.0,38218872.0,235.91896296296292
869,superman returns,2006,bryan singer,6.1,246797,72.0,270000000.0,391081192.0,121081192.0,44.84488592592592
870,the twilight saga: breaking dawn - part 1,2011,bill condon,4.9,190244,45.0,110000000.0,712205856.0,602205856.0,547.4598690909091
871,precious,2009,lee daniels,7.3,91623,79.0,10000000.0,63649529.0,53649529.0,536.49529
872,the sea of trees,2015,gus van sant,5.9,7475,23.0,25000000.0,906995.0,-24093005.0,-96.37202
873,good kids,2016,chris mccoy,6.1,3843,86.0,,,,
874,footloose,2011,craig brewer,5.9,39380,58.0,24000000.0,63543328.0,39543328.0,164.76386666666667
875,if i stay,2014,r.j. cutler,6.8,92170,46.0,11000000.0,78274843.0,67274843.0,611.5894818181819
876,the ticket,2016,ido fluk,5.4,924,52.0,,,,
877,detour,2016,christopher smith,6.3,2205,46.0,,,,
878,the love witch,2016,anna biller,6.2,4669,82.0,,,,
879,talladega nights: the ballad of ricky bobby,2006,adam mckay,6.6,137502,66.0,72500000.0,163362095.0,90862095.0,125.32702758620692
880,the human centipede (first sequence),2009,tom six,4.4,60655,33.0,,,,
881,super,2010,james gunn,6.8,64535,50.0,2500000.0,422618.0,-2077382.0,-83.09528
882,the siege of jadotville,2016,richie smyth,7.3,14689,83.0,,,,
883,the midnight meat train,2008,ryûhei kitamura,6.1,50255,58.0,15000000.0,3534313.0,-11465687.0,-76.43791333333333
884,the twilight saga: eclipse,2010,david slade,4.9,192740,58.0,68000000.0,698491347.0,630491347.0,927.1931573529412
885,transpecos,2016,greg kwedar,5.8,1292,73.0,,,,
886,what's your number?,2011,mark mylod,6.1,62095,35.0,20000000.0,30426096.0,10426096.0,52.13048
887,riddick,2013,david twohy,6.4,132098,49.0,38000000.0,98337295.0,60337295.0,158.78235526315788
888,triangle,2009,christopher smith,6.9,72533,66.0,,,,
889,king cobra,2016,justin kelly,5.6,3990,48.0,,,,
890,after earth,2013,m. night shyamalan,4.9,166512,33.0,130000000.0,243611982.0,113611982.0,87.3938323076923
891,kicks,2016,justin tipping,6.1,2417,69.0,,,,
892,me and earl and the dying girl,2015,alfonso gomez-rejon,7.8,92076,74.0,8000000.0,9074749.0,1074749.0,13.4343625
893,the descendants,2011,alexander payne,7.3,211348,84.0,20000000.0,177243185.0,157243185.0,786.2159250000001
894,sex and the city 2,2010,michael patrick king,4.3,62403,27.0,100000000.0,290745055.0,190745055.0,190.745055
895,the kings of summer,2013,jordan vogt-roberts,7.2,65653,61.0,,,,
896,death race,2008,paul w.s. anderson,6.4,173731,43.0,45000000.0,76014335.0,31014335.0,68.92074444444445
897,that awkward moment,2014,tom gormican,6.2,81823,36.0,8000000.0,45640143.0,37640143.0,470.5017875
898,legion,2010,scott stewart,5.2,84158,32.0,26000000.0,67918658.0,41918658.0,161.2256076923077
899,end of watch,2012,david ayer,7.7,192190,68.0,7000000.0,55078146.0,48078146.0,686.8306571428571
900,3 days to kill,2014,mcg,6.2,73567,40.0,28000000.0,53260230.0,25260230.0,90.21510714285714
901,lucky number slevin,2006,paul mcguigan,7.8,271940,53.0,27000000.0,56308881.0,29308881.0,108.55141111111112
902,trance,2013,danny boyle,7.0,97141,61.0,20000000.0,24261569.0,4261569.0,21.307845
903,into the forest,2015,patricia rozema,5.9,10220,59.0,,,,
904,the other boleyn girl,2008,justin chadwick,6.7,88260,50.0,35000000.0,78201830.0,43201830.0,123.4338
905,i spit on your grave,2010,steven r. monroe,6.3,60133,27.0,2000000.0,1278650.0,-721350.0,-36.0675
906,custody,2016,james lapine,6.9,280,72.0,,,,
907,l'odyssée,2016,jérôme salle,6.7,1810,70.0,,,,
908,wrecker,2015,micheal bafaro,3.5,1210,37.0,,,,
909,texas chainsaw 3d,2013,john luessenhop,4.8,37060,62.0,,,,
910,rock of ages,2012,adam shankman,5.9,64513,47.0,75000000.0,59418613.0,-15581387.0,-20.775182666666662
911,scream 4,2011,wes craven,6.2,108544,52.0,40000000.0,97231420.0,57231420.0,143.07855
912,queen of katwe,2016,mira nair,7.4,6753,73.0,,,,
913,my big fat greek wedding 2,2016,kirk jones,6.0,20966,37.0,18000000.0,90632641.0,72632641.0,403.5146722222223
914,dark places,2015,gilles paquet-brenner,6.2,31634,39.0,,,,
915,amateur night,2016,lisa addario,5.0,2229,38.0,,,,
916,it's only the end of the world,2016,xavier dolan,7.0,10658,48.0,,,,
917,the skin i live in,2011,pedro almodóvar,7.6,108772,70.0,,,,
918,miracles from heaven,2016,patricia riggen,7.0,12048,44.0,13000000.0,73983003.0,60983003.0,469.1000230769231
919,annie,2014,will gluck,5.3,27312,33.0,65000000.0,136853506.0,71853506.0,110.54385538461536
920,across the universe,2007,julie taymor,7.4,95172,56.0,45000000.0,29625761.0,-15374239.0,-34.16497555555556
921,let's be cops,2014,luke greenfield,6.5,112729,30.0,17000000.0,138224951.0,121224951.0,713.0879470588235
922,max,2015,boaz yakin,6.8,21405,47.0,,,,
923,your highness,2011,david gordon green,5.6,87904,31.0,49900000.0,28013733.0,-21886267.0,-43.860254509018034
924,final destination 5,2011,steven quale,5.9,88000,50.0,40000000.0,157887643.0,117887643.0,294.7191075
925,endless love,2014,shana feste,6.3,33688,30.0,20000000.0,34718173.0,14718173.0,73.59086500000001
926,martyrs,2008,pascal laugier,7.1,63785,89.0,,,,
927,underworld: rise of the lycans,2009,patrick tatopoulos,6.6,129708,44.0,35000000.0,92158961.0,57158961.0,163.31131714285715
928,taare zameen par,2007,aamir khan,8.5,102697,42.0,,,,
929,resident evil: afterlife,2010,paul w.s. anderson,5.9,140900,37.0,60000000.0,300228084.0,240228084.0,400.38014
930,project x,2012,nima nourizadeh,6.7,164088,48.0,12000000.0,102731865.0,90731865.0,756.098875
931,secret in their eyes,2015,billy ray,6.2,27585,45.0,19500000.0,34854990.0,15354990.0,78.74353846153846
932,hostel: part ii,2007,eli roth,5.5,73152,46.0,10200000.0,35728183.0,25528183.0,250.2763039215686
933,step up 2: the streets,2008,jon m. chu,6.2,70699,50.0,17500000.0,150988382.0,133488382.0,762.7907542857142
934,search party,2014,scot armstrong,5.6,4881,22.0,,,,
935,nine lives,2016,barry sonnenfeld,5.3,12435,11.0,,,,
936,joker,2019,todd phillips,8.3,1690149,59.0,55000000.0,1074427370.0,1019427370.0,1853.5043090909087
937,avengers endgame,2019,anthony russo joe russo,8.4,1442446,78.0,,,,
938,avengers infinity war,2018,anthony russo joe russo,8.4,1368739,68.0,,,,
939,parasite,2019,bong joon ho,8.5,1148210,97.0,11400000.0,258908054.0,247508054.0,2171.1232807017545
940,dune part one,2021,denis villeneuve,8.0,1038179,74.0,,,,
941,oppenheimer,2023,christopher nolan,8.2,1024033,90.0,,,,
942,spider man no way home,2021,jon watts,8.1,1017543,71.0,,,,
943,once upon a time in hollywood,2019,quentin tarantino,7.6,959546,84.0,,,,
944,the batman,2022,matt reeves,7.8,923764,72.0,,,,
945,captain america civil war,2016,anthony russo joe russo,7.8,925892,75.0,,,,
946,logan,2017,james mangold,8.1,917281,77.0,97000000.0,619179950.0,522179950.0,538.3298453608247
947,black panther,2018,ryan coogler,7.3,907405,88.0,200000000.0,1347597973.0,1147597973.0,573.7989865000001
948,thor ragnarok,2017,taika waititi,7.9,892533,74.0,,,,
949,top gun maverick,2022,joseph kosinski,8.2,855273,78.0,,,,
950,knives out,2019,rian johnson,7.9,875016,82.0,40000000.0,311539397.0,271539397.0,678.8484925
951,guardians of the galaxy vol 2,2017,james gunn,7.6,828114,67.0,,,,
952,get out,2017,jordan peele,7.8,814293,85.0,4500000.0,255589157.0,251089157.0,5579.759044444445
953,dunkirk,2017,christopher nolan,7.8,800591,94.0,100000000.0,527016307.0,427016307.0,427.016307
954,spider man homecoming,2017,jon watts,7.4,795043,73.0,,,,
955,spider man into the spider verse,2018,bob persichetti peter ramsey rodney rothman,8.4,777014,87.0,,,,
956,batman v superman dawn of justice,2016,zack snyder,6.4,790738,44.0,,,,
957,1917,2020,sam mendes,8.2,769457,78.0,,,,
958,dune part two,2024,denis villeneuve,8.4,734902,79.0,,,,
959,rogue one a star wars story,2016,gareth edwards,7.8,748381,65.0,,,,
960,blade runner 2049,2017,denis villeneuve,8.0,751317,81.0,150000000.0,259334548.0,109334548.0,72.88969866666667
961,deadpool 2,2018,david leitch,7.6,742720,66.0,110000000.0,786470484.0,676470484.0,614.9731672727273
962,wonder woman,2017,patty jenkins,7.3,732467,76.0,149000000.0,822824522.0,673824522.0,452.23122281879193
963,star wars episode viii the last jedi,2017,rian johnson,6.8,714411,84.0,,,,
964,coco,2017,adrian molina lee unkrich,8.4,704092,81.0,,,,
965,it,2017,andy muschietti,7.3,694027,69.0,35000000.0,701796444.0,666796444.0,1905.1326971428573
966,green book,2018,peter farrelly,8.2,682124,69.0,23000000.0,321752656.0,298752656.0,1298.9245913043478
967,barbie,2023,greta gerwig,6.8,667737,80.0,,,,
968,tenet,2020,christopher nolan,7.3,684003,69.0,205000000.0,363656624.0,158656624.0,77.39347512195121
969,baby driver,2017,edgar wright,7.5,682380,86.0,34000000.0,226945087.0,192945087.0,567.48555
970,a quiet place,2018,john krasinski,7.5,652123,82.0,17000000.0,350320413.0,333320413.0,1960.7083117647055
971,captain marvel,2019,anna boden ryan fleck,6.7,658051,64.0,,,,
972,bohemian rhapsody,2018,bryan singer,7.9,638785,49.0,52000000.0,911902649.0,859902649.0,1653.658940384615
973,everything everywhere all at once,2022,daniel kwan daniel scheinert,7.7,627115,81.0,,,,
974,spider man far from home,2019,jon watts,7.3,637793,69.0,,,,
975,avatar the way of water,2022,james cameron,7.5,601100,67.0,,,,
976,three billboards outside ebbing missouri,2017,martin mcdonagh,8.1,601876,88.0,,,,
977,venom,2018,ruben fleischer,6.6,601600,35.0,100000000.0,856085151.0,756085151.0,756.085151
978,the kashmir files,2022,vivek agnihotri,8.6,575455,,,,,
979,ford v ferrari,2019,james mangold,8.1,553839,81.0,97600000.0,225508210.0,127908210.0,131.053493852459
980,deadpool wolverine,2024,shawn levy,7.5,565006,56.0,,,,
981,john wick chapter 2,2017,chad stahelski,7.4,564980,75.0,,,,
982,aquaman,2018,james wan,6.8,552623,55.0,160000000.0,1148485886.0,988485886.0,617.80367875
983,doctor strange in the multiverse of madness,2022,sam raimi,6.9,543288,60.0,,,,
984,star wars episode ix the rise of skywalker,2019,j j abrams,6.3,536918,53.0,,,,
985,ready player one,2018,steven spielberg,7.4,540503,64.0,175000000.0,582893671.0,407893671.0,233.0820977142857
986,bullet train,2022,david leitch,7.3,519374,49.0,,,,
987,spider man across the spider verse,2023,joaquim dos santos kemp powers justin k thompson,8.5,509515,86.0,,,,
988,glass onion,2022,rian johnson,7.1,522178,81.0,,,,
989,justice league,2017,zack snyder,6.0,502540,45.0,300000000.0,657926987.0,357926987.0,119.30899566666666
990,jumanji welcome to the jungle,2017,jake kasdan,6.9,501548,58.0,,,,
991,the menu,2022,mark mylod,7.2,496461,71.0,,,,
992,ant man and the wasp,2018,peyton reed,7.0,493940,70.0,,,,
993,sinners,2025,ryan coogler,7.5,472042,84.0,,,,
994,x men apocalypse,2016,bryan singer,6.8,491572,52.0,,,,
995,free guy,2021,shawn levy,7.1,487068,62.0,,,,
996,shang chi and the legend of the ten rings,2021,destin daniel cretton,7.3,486812,71.0,,,,
997,jojo rabbit,2019,taika waititi,7.9,483917,58.0,14000000.0,90335025.0,76335025.0,545.2501785714286
998,no time to die,2021,cary joji fukunaga,7.3,481524,68.0,,,,
999,midsommar,2019,ari aster,7.1,481955,72.0,9000000.0,47967636.0,38967636.0,432.9737333333333
1000,john wick chapter 3 parabellum,2019,chad stahelski,7.4,476412,73.0,,,,
1001,black widow,2021,cate shortland,6.6,476594,68.0,,,,
1002,the shape of water,2017,guillermo del toro,7.3,472626,87.0,19400000.0,195333312.0,175933312.0,906.8727422680412
1003,guardians of the galaxy vol 3,2023,james gunn,7.9,470167,64.0,,,,
1004,thor love and thunder,2022,taika waititi,6.1,459337,57.0,,,,
1005,the suicide squad,2021,james gunn,7.2,457420,72.0,,,,
1006,hereditary,2018,ari aster,7.3,453527,87.0,10000000.0,80239658.0,70239658.0,702.39658
1007,the gentlemen,2019,guy ritchie,7.8,452815,51.0,,,,
1008,soul,2020,pete docter kemp powers,8.0,441986,83.0,,,,
1009,a star is born,2018,bradley cooper,7.6,445763,88.0,36000000.0,436188866.0,400188866.0,1111.635738888889
1010,the substance,2024,coralie fargeat,7.2,416556,78.0,,,,
1011,eternals,2021,chloé zhao,6.2,423444,52.0,,,,
1012,superman,2025,james gunn,7.0,406287,68.0,,,,
1013,mission impossible fallout,2018,christopher mcquarrie,7.7,419025,87.0,,,,
1014,one battle after another,2025,paul thomas anderson,7.7,397927,95.0,,,,
1015,shazam,2019,david f sandberg,7.0,412905,71.0,,,,
1016,john wick chapter 4,2023,chad stahelski,7.6,405485,78.0,,,,
1017,poor things,2023,yorgos lanthimos,7.7,391223,88.0,,,,
1018,solo a star wars story,2018,ron howard,6.9,406107,62.0,,,,
1019,kingsman the golden circle,2017,matthew vaughn,6.7,400623,44.0,,,,
1020,snow white,2025,marc webb,2.1,389458,50.0,,,,
1021,nobody,2021,ilya naishuller,7.4,391880,64.0,,,,
1022,your name,2016,makoto shinkai,8.4,385171,81.0,,,,
1023,annihilation,2018,alex garland,6.8,391083,79.0,40000000.0,43070915.0,3070915.0,7.6772875
1024,us,2019,jordan peele,6.8,390771,81.0,20000000.0,255184580.0,235184580.0,1175.9229
1025,black panther wakanda forever,2022,ryan coogler,6.6,368850,67.0,,,,
1026,pirates of the caribbean dead men tell no tales,2017,joachim rønning espen sandberg,6.5,381325,39.0,,,,
1027,jurassic world fallen kingdom,2018,j a bayona,6.1,382093,51.0,,,,
1028,kong skull island,2017,jordan vogt roberts,6.7,371895,62.0,,,,
1029,incredibles 2,2018,brad bird,7.5,366471,80.0,200000000.0,1244639527.0,1044639527.0,522.3197635
1030,weapons,2025,zach cregger,7.4,349399,81.0,,,,
1031,project hail mary,2026,phil lord christopher miller,8.3,333549,77.0,,,,
1032,f1 the movie,2025,joseph kosinski,7.6,353753,68.0,,,,
1033,lady bird,2017,greta gerwig,7.4,363036,93.0,10000000.0,78966486.0,68966486.0,689.66486
1034,call me by your name,2017,luca guadagnino,7.8,351228,94.0,,,,
1035,beauty and the beast,2017,bill condon,7.1,356758,65.0,160000000.0,1264434525.0,1104434525.0,690.271578125
1036,uncut gems,2019,benny safdie josh safdie,7.4,351556,93.0,,,,
1037,it chapter two,2019,andy muschietti,6.5,353654,58.0,79000000.0,473093228.0,394093228.0,498.85218734177215
1038,the greatest showman,2017,michael gracey,7.5,342749,48.0,84000000.0,438006904.0,354006904.0,421.4367904761905
1039,alien covenant,2017,ridley scott,6.4,344333,65.0,,,,
1040,fantastic beasts the crimes of grindelwald,2018,david yates,6.5,329657,52.0,,,,
1041,don t breathe,2016,fede alvarez,7.1,328090,71.0,,,,
1042,mission impossible dead reckoning part one,2023,christopher mcquarrie,7.6,326383,81.0,,,,
1043,war for the planet of the apes,2017,matt reeves,7.4,324617,82.0,150000000.0,490719763.0,340719763.0,227.14650866666668
1044,a quiet place part ii,2020,john krasinski,7.2,315806,71.0,,,,
1045,alita battle angel,2019,robert rodriguez,7.3,321252,53.0,,,,
1046,furiosa a mad max saga,2024,george miller,7.5,311953,79.0,,,,
1047,murder on the orient express,2017,kenneth branagh,6.5,319654,52.0,55000000.0,352794081.0,297794081.0,541.4437836363636
1048,jumanji the next level,2019,jake kasdan,6.6,316072,58.0,,,,
1049,toy story 4,2019,josh cooley,7.6,310352,84.0,200000000.0,1073394593.0,873394593.0,436.6972965000001
1050,nope,2022,jordan peele,6.8,314732,77.0,,,,
1051,wind river,2017,taylor sheridan,7.7,311709,73.0,11000000.0,43980821.0,32980821.0,299.82564545454545
1052,aladdin,2019,guy ritchie,6.9,312476,53.0,183000000.0,1050693953.0,867693953.0,474.1497010928962
1053,blackkklansman,2018,spike lee,7.5,314003,83.0,15000000.0,93413709.0,78413709.0,522.75806
1054,wonder woman 1984,2020,patty jenkins,5.3,310651,60.0,,,,
1055,train to busan,2016,yeon sang ho,7.6,300921,73.0,,,,
1056,killers of the flower moon,2023,martin scorsese,7.5,302730,89.0,,,,
1057,venom let there be carnage,2021,andy serkis,5.9,304536,49.0,,,,
1058,black adam,2022,jaume collet serra,6.1,303175,41.0,,,,
1059,glass,2019,m night shyamalan,6.6,302015,43.0,,,,
1060,the matrix resurrections,2021,lana wachowski,5.6,301242,63.0,,,,
1061,the lighthouse,2019,robert eggers,7.4,301036,83.0,,,,
1062,gladiator ii,2024,ridley scott,6.4,296954,64.0,,,,
1063,uncharted,2022,ruben fleischer,6.3,298712,45.0,,,,
1064,the northman,2022,robert eggers,7.0,298461,82.0,,,,
1065,the whale,2022,darren aronofsky,7.6,281700,60.0,,,,
1066,encanto,2021,jared bush byron howard charise castro smith,7.2,293893,75.0,,,,
1067,cruella,2021,craig gillespie,7.3,293600,59.0,,,,
