id,title,year,director,rating,votes,metascore,budget,gross,profit,roi
710,lavender,2016,ed gass-donnelly,5.2,2083,46.0,,,,
711,deuces,2016,jamal hill,6.6,256,36.0,,,,
712,the fighter,2010,david o. russell,7.8,290056,79.0,25000000.0,129190869.0,104190869.0,416.763476
713,august rush,2007,kirsten sheridan,7.5,91229,38.0,30000000.0,66122026.0,36122026.0,120.40675333333331
714,chef,2014,jon favreau,7.3,151970,68.0,11000000.0,48428048.0,37428048.0,340.2549818181818
715,eye in the sky,2015,gavin hood,7.3,57826,73.0,13000000.0,35259653.0,22259653.0,171.22809999999998
716,eagle eye,2008,d.j. caruso,6.6,156158,43.0,80000000.0,178767383.0,98767383.0,123.45922875
717,the purge,2013,james demonaco,5.7,154588,41.0,3000000.0,89328627.0,86328627.0,2877.6209000000003
718,pk,2014,rajkumar hirani,8.2,103279,51.0,,,,
719,indiana jones and the kingdom of the crystal skull,2008,steven spielberg,6.2,351361,65.0,185000000.0,790653942.0,605653942.0,327.3805091891892
720,paper towns,2015,jake schreier,6.3,72515,56.0,12000000.0,85512300.0,73512300.0,612.6025000000001
721,high-rise,2015,ben wheatley,5.7,25928,65.0,,,,
722,quantum of solace,2008,marc forster,6.6,347798,58.0,200000000.0,589580482.0,389580482.0,194.790241
723,the assignment,2016,walter hill,4.5,2043,34.0,,,,
724,how to train your dragon,2010,dean deblois,8.1,523893,74.0,165000000.0,494879471.0,329879471.0,199.9269521212121
725,lady in the water,2006,m. night shyamalan,5.6,82701,36.0,70000000.0,72785169.0,2785169.0,3.978812857142857
726,the fountain,2006,darren aronofsky,7.3,199193,51.0,35000000.0,16468343.0,-18531657.0,-52.94759142857143
727,cars 2,2011,john lasseter,6.2,110490,57.0,200000000.0,559852396.0,359852396.0,179.926198
728,31,2016,rob zombie,5.1,10871,35.0,1500000.0,850419.0,-649581.0,-43.3054
729,final girl,2015,tyler shields,4.7,9026,56.0,,,,
730,unknown,2011,jaume collet-serra,6.9,218679,56.0,30000000.0,135710029.0,105710029.0,352.3667633333333
731,self/less,2015,tarsem singh,6.5,67196,34.0,26000000.0,31807156.0,5807156.0,22.335215384615385
732,mr. brooks,2007,bruce a. evans,7.3,128146,45.0,20000000.0,48443734.0,28443734.0,142.21867
733,tramps,2016,adam leon,6.5,1031,77.0,,,,
734,before we go,2014,chris evans,6.9,31370,31.0,,,,
735,captain phillips,2013,paul greengrass,7.8,346154,83.0,55000000.0,218791811.0,163791811.0,297.8032927272727
736,the secret scripture,2016,jim sheridan,6.8,378,37.0,,,,
737,max steel,2016,stewart hendler,4.6,11555,22.0,,,,
738,hotel transylvania 2,2015,genndy tartakovsky,6.7,69157,44.0,80000000.0,474800000.0,394800000.0,493.5
739,hancock,2008,peter berg,6.4,366138,49.0,150000000.0,629443428.0,479443428.0,319.628952
740,sisters,2015,jason moore,6.0,50241,58.0,30000000.0,105011053.0,75011053.0,250.0368433333333
741,the family,2013,luc besson,6.3,92868,42.0,30000000.0,78418811.0,48418811.0,161.39603666666667
742,zack and miri make a porno,2008,kevin smith,6.6,154936,56.0,24000000.0,42784344.0,18784344.0,78.26809999999999
743,ma vie de courgette,2016,claude barras,7.8,4370,85.0,,,,
744,man on a ledge,2012,asger leth,6.6,129252,40.0,42000000.0,47636031.0,5636031.0,13.41912142857143
745,no strings attached,2011,ivan reitman,6.2,178243,50.0,25000000.0,149228077.0,124228077.0,496.912308
746,rescue dawn,2006,werner herzog,7.3,87887,77.0,10000000.0,7177143.0,-2822857.0,-28.22857
747,despicable me 2,2013,pierre coffin,7.4,304837,62.0,76000000.0,970766005.0,894766005.0,1177.3236907894736
748,a walk among the tombstones,2014,scott frank,6.5,93883,57.0,28000000.0,58834384.0,30834384.0,110.1228
749,the world's end,2013,edgar wright,7.0,199813,81.0,20000000.0,46091271.0,26091271.0,130.456355
750,yoga hosers,2016,kevin smith,4.3,7091,23.0,,,,
751,seven psychopaths,2012,martin mcdonagh,7.2,196652,66.0,15000000.0,32226382.0,17226382.0,114.84254666666666
752,beowulf,2007,robert zemeckis,6.2,146566,59.0,150000000.0,196393745.0,46393745.0,30.92916333333333
753,jack ryan: shadow recruit,2014,kenneth branagh,6.2,103681,57.0,60000000.0,135503748.0,75503748.0,125.83958
754,1408,2007,mikael håfström,6.8,221073,64.0,25000000.0,132963417.0,107963417.0,431.853668
755,the gambler,2014,rupert wyatt,6.0,52537,55.0,25000000.0,39280992.0,14280992.0,57.123968000000005
756,prince of persia: the sands of time,2010,mike newell,6.6,233148,50.0,200000000.0,336365676.0,136365676.0,68.182838
757,the spectacular now,2013,james ponsoldt,7.1,115751,82.0,2500000.0,6918591.0,4418591.0,176.74364
758,a united kingdom,2016,amma asante,6.8,4771,65.0,14000000.0,14459330.0,459330.0,3.2809285714285714
759,uss indianapolis: men of courage,2016,mario van peebles,5.2,4964,30.0,,,,
760,turbo kid,2015,françois simard,6.7,19309,60.0,,,,
761,mama,2013,andrés muschietti,6.2,142560,57.0,,,,
762,orphan,2009,jaume collet-serra,7.0,153448,42.0,,,,
763,to rome with love,2012,woody allen,6.3,72050,54.0,,,,
764,fantastic mr. fox,2009,wes anderson,7.8,149779,83.0,40000000.0,46474181.0,6474181.0,16.1854525
765,inside man,2006,spike lee,7.6,285441,76.0,45000000.0,186003591.0,141003591.0,313.34131333333335
766,i.t.,2016,john moore,5.4,8755,27.0,,,,
767,127 hours,2010,danny boyle,7.6,294010,82.0,18000000.0,60738797.0,42738797.0,237.43776111111112
768,annabelle,2014,john r. leonetti,5.4,91106,37.0,6500000.0,257579282.0,251079282.0,3862.758184615384
769,wolves at the door,2016,john r. leonetti,4.6,564,63.0,,,,
770,the imaginarium of doctor parnassus,2009,terry gilliam,6.8,130153,65.0,30000000.0,61808775.0,31808775.0,106.02925
771,g.i. joe: the rise of cobra,2009,stephen sommers,5.8,180105,32.0,175000000.0,302469017.0,127469017.0,72.83943828571428
772,christine,2016,antonio campos,7.0,5855,72.0,,,,
773,man down,2015,dito montiel,5.8,4779,27.0,,,,
774,crawlspace,2016,phil claydon,5.3,1427,25.0,,,,
775,the warriors gate,2016,matthias hoene,5.3,1391,77.0,,,,
776,disaster movie,2008,jason friedberg,1.9,77207,15.0,20000000.0,34816824.0,14816824.0,74.08412
777,rocky balboa,2006,sylvester stallone,7.2,171356,63.0,24000000.0,155929020.0,131929020.0,549.70425
778,diary of a wimpy kid: dog days,2012,david bowers,6.4,16917,54.0,22000000.0,77229695.0,55229695.0,251.0440681818182
779,jane eyre,2011,cary joji fukunaga,7.4,67464,76.0,,,,
780,fool's gold,2008,andy tennant,5.7,62719,29.0,70000000.0,111231041.0,41231041.0,58.90148714285714
781,the dictator,2012,larry charles,6.4,225394,58.0,65000000.0,179379533.0,114379533.0,175.9685123076923
782,the loft,2014,erik van looy,6.3,38804,24.0,14000000.0,11020402.0,-2979598.0,-21.28284285714286
783,bacalaureat,2016,cristian mungiu,7.5,5531,84.0,,,,
784,you don't mess with the zohan,2008,dennis dugan,5.5,163144,54.0,90000000.0,204313400.0,114313400.0,127.0148888888889
785,exposed,2016,gee malik linton,4.2,8409,23.0,,,,
786,maudie,2016,aisling walsh,7.8,346,60.0,,,,
787,horrible bosses 2,2014,sean anders,6.3,125190,40.0,42000000.0,107645357.0,65645357.0,156.29846904761905
788,a bigger splash,2015,luca guadagnino,6.4,15232,74.0,,,,
789,melancholia,2011,lars von trier,7.1,137117,80.0,7400000.0,17039814.0,9639814.0,130.26775675675674
790,the princess and the frog,2009,ron clements,7.1,95480,73.0,105000000.0,267045765.0,162045765.0,154.3293
791,unstoppable,2010,tony scott,6.8,157499,69.0,100000000.0,167805466.0,67805466.0,67.80546600000001
792,flight,2012,robert zemeckis,7.3,276347,76.0,31000000.0,161772375.0,130772375.0,421.846370967742
793,home,2015,tim johnson,6.7,77447,55.0,135000000.0,386041607.0,251041607.0,185.95674592592596
794,la migliore offerta,2013,giuseppe tornatore,7.8,77986,49.0,,,,
795,mean dreams,2016,nathan morlando,6.3,1066,64.0,,,,
796,42,2013,brian helgeland,7.5,69659,62.0,40000000.0,97470701.0,57470701.0,143.6767525
797,21,2008,robert luketic,6.8,198395,48.0,35000000.0,159808370.0,124808370.0,356.59534285714284
798,begin again,2013,john carney,7.4,111875,62.0,8000000.0,65652908.0,57652908.0,720.66135
799,out of the furnace,2013,scott cooper,6.8,88829,63.0,22000000.0,15661554.0,-6338446.0,-28.81111818181818
800,vicky cristina barcelona,2008,woody allen,7.1,208770,70.0,15500000.0,96409300.0,80909300.0,521.9954838709677
801,kung fu panda,2008,mark osborne,7.6,329788,73.0,130000000.0,631746197.0,501746197.0,385.9586130769231
802,barbershop: the next cut,2016,malcolm d. lee,5.9,9993,67.0,,,,
803,terminator salvation,2009,mcg,6.6,297093,49.0,200000000.0,371353001.0,171353001.0,85.6765005
804,freedom writers,2007,richard lagravenese,7.5,55648,64.0,21000000.0,43095175.0,22095175.0,105.21511904761904
805,the hills have eyes,2006,alexandre aja,6.4,136642,52.0,15000000.0,70009308.0,55009308.0,366.72872
806,changeling,2008,clint eastwood,7.8,206793,63.0,55000000.0,113398237.0,58398237.0,106.17861272727274
807,remember me,2010,allen coulter,7.2,119376,40.0,16000000.0,56032889.0,40032889.0,250.20555625
808,koe no katachi,2016,naoko yamada,8.4,2421,80.0,,,,
809,"alexander and the terrible, horrible, no good, very bad day",2014,miguel arteta,6.2,32310,54.0,28000000.0,100654149.0,72654149.0,259.47910357142854
810,locke,2013,steven knight,7.1,100890,81.0,2000000.0,5090608.0,3090608.0,154.5304
811,the 9th life of louis drax,2016,alexandre aja,6.3,6175,41.0,,,,
812,horns,2013,alexandre aja,6.5,61060,46.0,,,,
813,indignation,2016,james schamus,6.9,7402,78.0,,,,
814,the stanford prison experiment,2015,kyle patrick alvarez,6.9,20907,67.0,,,,
815,diary of a wimpy kid: rodrick rules,2011,david bowers,6.6,20194,51.0,21000000.0,72526996.0,51526996.0,245.3666476190476
816,mission: impossible iii,2006,j.j. abrams,6.9,270429,66.0,150000000.0,398479497.0,248479497.0,165.652998
