id,title,author,rating_average,movie_release_year,isbn,Unnamed: 0,rank,genre,description,director,actors,year,runtime (minutes),rating,votes,revenue (millions),metascore
96,les misérables,victor hugo,4.18,2012,978-0451419439,245,246,"drama,musical,romance","in 19th-century france, jean valjean, who for decades has been hunted by the ruthless policeman javert after breaking parole, agrees to care for a factory worker's daughter. the decision changes their lives forever.",tom hooper,"hugh jackman, russell crowe, anne hathaway,amanda seyfried",2012,158,7.6,257426,148.78,63.0
100,cloud atlas,david mitchell,4.02,2012,978-0375507250,267,268,"drama,sci-fi","an exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",tom tykwer,"tom hanks, halle berry, hugh grant, hugo weaving",2012,172,7.5,298651,27.1,55.0
122,steve jobs,walter isaacson,4.15,2015,978-1451648539,392,393,"biography,drama","steve jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. the story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the imac.",danny boyle,"michael fassbender, kate winslet, seth rogen, jeff daniels",2015,122,7.2,116112,17.75,82.0
133,wild,cheryl strayed,4.01,2014,978-0307592736,721,722,"adventure,biography,drama","a chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",jean-marc vallée,"reese witherspoon, laura dern, gaby hoffmann,michiel huisman",2014,115,7.1,95553,37.88,76.0
155,watchmen,alan moore,4.36,2009,978-0930289232,147,148,"action,drama,mystery","in 1985 where former superheroes exist, the murder of a colleague sends active vigilante rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",zack snyder,"jackie earle haley, patrick wilson, carla gugino,malin akerman",2009,162,7.6,410249,107.5,56.0
198,no country for old men,cormac mccarthy,4.15,2007,978-0307387134,136,137,"crime,drama,thriller",violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the rio grande.,ethan coen,"tommy lee jones, javier bardem, josh brolin, woody harrelson",2007,122,8.1,660286,74.27,91.0
220,bridge to terabithia,katherine paterson,4.02,2007,978-0064401845,912,913,"adventure,drama,family",a preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,gabor csupo,"josh hutcherson, annasophia robb, zooey deschanel, robert patrick",2007,96,7.2,117297,82.23,74.0
225,the bfg,roald dahl,4.24,2016,978-0142410387,150,151,"adventure,family,fantasy","an orphan little girl befriends a benevolent giant who takes her to giant country, where they attempt to stop the man-eating giants that are invading the human world.",steven spielberg,"mark rylance, ruby barnhill, penelope wilton,jemaine clement",2016,117,6.4,50853,55.47,66.0
227,the three musketeers,alexandre dumas,4.07,1993,978-0140440256,345,346,"action,adventure,romance",the hot-headed young d'artagnan along with three former legendary but now down on their luck musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the french throne and engulfing europe in war.,paul w.s. anderson,"logan lerman, matthew macfadyen, ray stevenson, milla jovovich",2011,110,5.8,92329,20.32,35.0
258,carrie,stephen king,3.98,1976,978-0307743664,449,450,"drama,horror","a shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",kimberly peirce,"chloë grace moretz, julianne moore, gabriella wilde, portia doubleday",2013,100,5.9,113272,35.27,53.0
262,stardust,neil gaiman,4.09,2007,978-0062564344,346,347,"adventure,family,fantasy","in a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",matthew vaughn,"charlie cox, claire danes, sienna miller, ian mckellen",2007,127,7.7,220664,38.35,66.0
278,the golden compass,philip pullman,3.99,2007,978-0440418320,919,920,"adventure,family,fantasy","in a parallel universe, young lyra belacqua journeys to the far north to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",chris weitz,"nicole kidman, daniel craig, dakota blue richards, ben walker",2007,113,6.1,155078,70.08,51.0
