id,title,rating,votes,metascore
769,paper towns,6.3,72515,56.0
770,high-rise,5.7,25928,65.0
771,quantum of solace,6.6,347798,58.0
772,the assignment,4.5,2043,34.0
773,how to train your dragon,8.1,523893,74.0
774,lady in the water,5.6,82701,36.0
775,the fountain,7.3,199193,51.0
776,cars 2,6.2,110490,57.0
777,31,5.1,10871,35.0
778,final girl,4.7,9026,56.0
781,unknown,6.9,218679,56.0
782,self/less,6.5,67196,34.0
783,mr. brooks,7.3,128146,45.0
784,tramps,6.5,1031,77.0
785,before we go,6.9,31370,31.0
786,captain phillips,7.8,346154,83.0
787,the secret scripture,6.8,378,37.0
788,max steel,4.6,11555,22.0
789,hotel transylvania 2,6.7,69157,44.0
790,hancock,6.4,366138,49.0
791,sisters,6.0,50241,58.0
792,the family,6.3,92868,42.0
793,zack and miri make a porno,6.6,154936,56.0
794,ma vie de courgette,7.8,4370,85.0
795,man on a ledge,6.6,129252,40.0
796,no strings attached,6.2,178243,50.0
797,rescue dawn,7.3,87887,77.0
798,despicable me 2,7.4,304837,62.0
799,a walk among the tombstones,6.5,93883,57.0
800,the world's end,7.0,199813,81.0
801,yoga hosers,4.3,7091,23.0
802,seven psychopaths,7.2,196652,66.0
803,beowulf,6.2,146566,59.0
804,jack ryan: shadow recruit,6.2,103681,57.0
805,1408,6.8,221073,64.0
806,the gambler,6.0,52537,55.0
807,prince of persia: the sands of time,6.6,233148,50.0
808,the spectacular now,7.1,115751,82.0
809,a united kingdom,6.8,4771,65.0
810,uss indianapolis: men of courage,5.2,4964,30.0
811,turbo kid,6.7,19309,60.0
812,mama,6.2,142560,57.0
813,orphan,7.0,153448,42.0
814,to rome with love,6.3,72050,54.0
815,fantastic mr. fox,7.8,149779,83.0
816,inside man,7.6,285441,76.0
817,i.t.,5.4,8755,27.0
818,127 hours,7.6,294010,82.0
819,annabelle,5.4,91106,37.0
820,wolves at the door,4.6,564,63.0
822,the imaginarium of doctor parnassus,6.8,130153,65.0
823,g.i. joe: the rise of cobra,5.8,180105,32.0
824,christine,7.0,5855,72.0
825,man down,5.8,4779,27.0
826,crawlspace,5.3,1427,25.0
828,the warriors gate,5.3,1391,77.0
830,disaster movie,1.9,77207,15.0
831,rocky balboa,7.2,171356,63.0
832,diary of a wimpy kid: dog days,6.4,16917,54.0
833,jane eyre,7.4,67464,76.0
834,fool's gold,5.7,62719,29.0
835,the dictator,6.4,225394,58.0
836,the loft,6.3,38804,24.0
837,bacalaureat,7.5,5531,84.0
838,you don't mess with the zohan,5.5,163144,54.0
839,exposed,4.2,8409,23.0
840,maudie,7.8,346,60.0
841,horrible bosses 2,6.3,125190,40.0
842,a bigger splash,6.4,15232,74.0
843,melancholia,7.1,137117,80.0
844,the princess and the frog,7.1,95480,73.0
845,unstoppable,6.8,157499,69.0
846,flight,7.3,276347,76.0
847,home,6.7,77447,55.0
848,la migliore offerta,7.8,77986,49.0
849,mean dreams,6.3,1066,64.0
850,42,7.5,69659,62.0
851,21,6.8,198395,48.0
852,begin again,7.4,111875,62.0
853,out of the furnace,6.8,88829,63.0
854,vicky cristina barcelona,7.1,208770,70.0
855,kung fu panda,7.6,329788,73.0
856,barbershop: the next cut,5.9,9993,67.0
857,terminator salvation,6.6,297093,49.0
858,freedom writers,7.5,55648,64.0
859,the hills have eyes,6.4,136642,52.0
860,changeling,7.8,206793,63.0
861,remember me,7.2,119376,40.0
862,koe no katachi,8.4,2421,80.0
863,"alexander and the terrible, horrible, no good, very bad day",6.2,32310,54.0
864,locke,7.1,100890,81.0
865,the 9th life of louis drax,6.3,6175,41.0
866,horns,6.5,61060,46.0
867,indignation,6.9,7402,78.0
868,the stanford prison experiment,6.9,20907,67.0
869,diary of a wimpy kid: rodrick rules,6.6,20194,51.0
870,mission: impossible iii,6.9,270429,66.0
871,en man som heter ove,7.7,21569,70.0
872,dragonball evolution,2.7,59512,45.0
873,red dawn,5.4,64584,31.0
874,one day,7.0,113599,48.0
875,life as we know it,6.6,101301,39.0
876,28 weeks later,7.0,221858,78.0
877,warm bodies,6.9,193579,59.0
878,blue jasmine,7.3,160592,78.0
879,g.i. joe: retaliation,5.8,152145,41.0
880,wrath of the titans,5.8,159230,37.0
881,shin gojira,6.9,8365,68.0
882,saving mr. banks,7.5,125693,65.0
883,transcendence,6.3,184564,42.0
884,rio,6.9,173919,63.0
885,equals,6.1,16361,43.0
886,babel,7.5,253417,69.0
887,the tree of life,6.8,143517,85.0
888,the lucky one,6.5,82874,39.0
889,piranha 3d,5.5,75262,53.0
890,50/50,7.7,281625,72.0
891,the intent,3.5,202,59.0
893,real steel,7.1,264480,56.0
894,sex and the city,5.5,102547,53.0
895,rambo,7.1,187077,46.0
896,planet terror,7.1,174553,55.0
898,the fall,7.9,93036,64.0
899,the ugly truth,6.5,172558,28.0
900,bride wars,5.5,83976,24.0
901,sleeping with other people,6.5,27730,64.0
902,snakes on a plane,5.6,118905,58.0
903,what if,6.8,55243,59.0
904,how to train your dragon 2,7.9,237565,76.0
905,robocop,6.2,190833,52.0
906,in dubious battle,6.2,1455,43.0
907,"hello, my name is doris",6.7,12361,63.0
908,ocean's thirteen,6.9,269581,62.0
909,slither,6.5,64351,69.0
910,contagion,6.6,187004,70.0
911,il racconto dei racconti - tale of tales,6.4,17565,72.0
912,i am the pretty thing that lives in the house,4.7,4204,68.0
913,bridge to terabithia,7.2,117297,74.0
914,coherence,7.2,66265,65.0
915,notorious,6.7,33007,60.0
916,goksung,7.5,17962,81.0
917,the expendables 2,6.6,257395,51.0
918,the girl next door,6.7,19351,29.0
919,perfume: the story of a murderer,7.5,199387,56.0
920,the golden compass,6.1,155078,51.0
921,centurion,6.4,67801,62.0
922,scouts guide to the zombie apocalypse,6.3,31651,32.0
923,17 again,6.4,152808,48.0
924,no escape,6.8,57921,38.0
925,superman returns,6.1,246797,72.0
926,the twilight saga: breaking dawn - part 1,4.9,190244,45.0
927,precious,7.3,91623,79.0
928,the sea of trees,5.9,7475,23.0
929,good kids,6.1,3843,86.0
931,footloose,5.9,39380,58.0
932,if i stay,6.8,92170,46.0
933,the ticket,5.4,924,52.0
934,detour,6.3,2205,46.0
935,the love witch,6.2,4669,82.0
936,talladega nights: the ballad of ricky bobby,6.6,137502,66.0
937,the human centipede (first sequence),4.4,60655,33.0
938,super,6.8,64535,50.0
939,the siege of jadotville,7.3,14689,83.0
941,the midnight meat train,6.1,50255,58.0
942,the twilight saga: eclipse,4.9,192740,58.0
943,transpecos,5.8,1292,73.0
944,what's your number?,6.1,62095,35.0
945,riddick,6.4,132098,49.0
946,triangle,6.9,72533,66.0
948,king cobra,5.6,3990,48.0
949,after earth,4.9,166512,33.0
950,kicks,6.1,2417,69.0
951,me and earl and the dying girl,7.8,92076,74.0
952,the descendants,7.3,211348,84.0
953,sex and the city 2,4.3,62403,27.0
954,the kings of summer,7.2,65653,61.0
955,death race,6.4,173731,43.0
956,that awkward moment,6.2,81823,36.0
957,legion,5.2,84158,32.0
958,end of watch,7.7,192190,68.0
959,3 days to kill,6.2,73567,40.0
960,lucky number slevin,7.8,271940,53.0
961,trance,7.0,97141,61.0
962,into the forest,5.9,10220,59.0
963,the other boleyn girl,6.7,88260,50.0
964,i spit on your grave,6.3,60133,27.0
965,custody,6.9,280,72.0
967,l'odyssée,6.7,1810,70.0
969,wrecker,3.5,1210,37.0
971,texas chainsaw 3d,4.8,37060,62.0
973,rock of ages,5.9,64513,47.0
974,scream 4,6.2,108544,52.0
975,queen of katwe,7.4,6753,73.0
976,my big fat greek wedding 2,6.0,20966,37.0
977,dark places,6.2,31634,39.0
978,amateur night,5.0,2229,38.0
979,it's only the end of the world,7.0,10658,48.0
980,the skin i live in,7.6,108772,70.0
981,miracles from heaven,7.0,12048,44.0
982,annie,5.3,27312,33.0
983,across the universe,7.4,95172,56.0
984,let's be cops,6.5,112729,30.0
985,max,6.8,21405,47.0
986,your highness,5.6,87904,31.0
987,final destination 5,5.9,88000,50.0
988,endless love,6.3,33688,30.0
989,martyrs,7.1,63785,89.0
991,underworld: rise of the lycans,6.6,129708,44.0
992,taare zameen par,8.5,102697,42.0
994,resident evil: afterlife,5.9,140900,37.0
995,project x,6.7,164088,48.0
996,secret in their eyes,6.2,27585,45.0
997,hostel: part ii,5.5,73152,46.0
998,step up 2: the streets,6.2,70699,50.0
999,search party,5.6,4881,22.0
1000,nine lives,5.3,12435,11.0
