title,rating,votes,revenue (millions),metascore
in bruges,7.9,322536,7.76,67.0
this means war,6.3,154400,54.76,31.0
the fighter,7.8,290056,93.57,79.0
august rush,7.5,91229,31.66,38.0
chef,7.3,151970,31.24,68.0
eye in the sky,7.3,57826,18.7,73.0
eagle eye,6.6,156158,101.11,43.0
the purge,5.7,154588,64.42,41.0
pk,8.2,103279,10.57,51.0
indiana jones and the kingdom of the crystal skull,6.2,351361,317.01,65.0
paper towns,6.3,72515,31.99,56.0
high-rise,5.7,25928,0.34,65.0
quantum of solace,6.6,347798,168.37,58.0
how to train your dragon,8.1,523893,217.39,74.0
lady in the water,5.6,82701,42.27,36.0
the fountain,7.3,199193,10.14,51.0
cars 2,6.2,110490,191.45,57.0
31,5.1,10871,0.78,35.0
unknown,6.9,218679,61.09,56.0
self/less,6.5,67196,12.28,34.0
mr. brooks,7.3,128146,28.48,45.0
before we go,6.9,31370,0.04,31.0
captain phillips,7.8,346154,107.1,83.0
max steel,4.6,11555,3.77,22.0
hotel transylvania 2,6.7,69157,169.69,44.0
hancock,6.4,366138,227.95,49.0
sisters,6.0,50241,87.03,58.0
the family,6.3,92868,36.92,42.0
zack and miri make a porno,6.6,154936,31.45,56.0
ma vie de courgette,7.8,4370,0.29,85.0
man on a ledge,6.6,129252,18.6,40.0
no strings attached,6.2,178243,70.63,50.0
rescue dawn,7.3,87887,5.48,77.0
despicable me 2,7.4,304837,368.05,62.0
a walk among the tombstones,6.5,93883,25.98,57.0
the world's end,7.0,199813,26.0,81.0
seven psychopaths,7.2,196652,14.99,66.0
beowulf,6.2,146566,82.16,59.0
jack ryan: shadow recruit,6.2,103681,50.55,57.0
1408,6.8,221073,71.98,64.0
the gambler,6.0,52537,33.63,55.0
prince of persia: the sands of time,6.6,233148,90.76,50.0
the spectacular now,7.1,115751,6.85,82.0
a united kingdom,6.8,4771,3.9,65.0
turbo kid,6.7,19309,0.05,60.0
mama,6.2,142560,71.59,57.0
orphan,7.0,153448,41.57,42.0
to rome with love,6.3,72050,16.68,54.0
fantastic mr. fox,7.8,149779,21.0,83.0
inside man,7.6,285441,88.5,76.0
127 hours,7.6,294010,18.33,82.0
annabelle,5.4,91106,84.26,37.0
the imaginarium of doctor parnassus,6.8,130153,7.69,65.0
g.i. joe: the rise of cobra,5.8,180105,150.17,32.0
christine,7.0,5855,0.3,72.0
disaster movie,1.9,77207,14.17,15.0
rocky balboa,7.2,171356,70.27,63.0
diary of a wimpy kid: dog days,6.4,16917,49.0,54.0
jane eyre,7.4,67464,11.23,76.0
fool's gold,5.7,62719,70.22,29.0
the dictator,6.4,225394,59.62,58.0
the loft,6.3,38804,5.98,24.0
bacalaureat,7.5,5531,0.13,84.0
you don't mess with the zohan,5.5,163144,100.02,54.0
horrible bosses 2,6.3,125190,54.41,40.0
a bigger splash,6.4,15232,1.98,74.0
melancholia,7.1,137117,3.03,80.0
the princess and the frog,7.1,95480,104.37,73.0
unstoppable,6.8,157499,81.56,69.0
flight,7.3,276347,93.75,76.0
home,6.7,77447,177.34,55.0
la migliore offerta,7.8,77986,0.09,49.0
42,7.5,69659,95.0,62.0
21,6.8,198395,81.16,48.0
begin again,7.4,111875,16.17,62.0
out of the furnace,6.8,88829,11.33,63.0
vicky cristina barcelona,7.1,208770,23.21,70.0
kung fu panda,7.6,329788,215.4,73.0
barbershop: the next cut,5.9,9993,54.01,67.0
terminator salvation,6.6,297093,125.32,49.0
freedom writers,7.5,55648,36.58,64.0
the hills have eyes,6.4,136642,41.78,52.0
changeling,7.8,206793,35.71,63.0
remember me,7.2,119376,19.06,40.0
"alexander and the terrible, horrible, no good, very bad day",6.2,32310,66.95,54.0
locke,7.1,100890,1.36,81.0
horns,6.5,61060,0.16,46.0
indignation,6.9,7402,3.4,78.0
the stanford prison experiment,6.9,20907,0.64,67.0
diary of a wimpy kid: rodrick rules,6.6,20194,52.69,51.0
mission: impossible iii,6.9,270429,133.38,66.0
en man som heter ove,7.7,21569,3.36,70.0
dragonball evolution,2.7,59512,9.35,45.0
red dawn,5.4,64584,44.8,31.0
one day,7.0,113599,13.77,48.0
life as we know it,6.6,101301,53.36,39.0
28 weeks later,7.0,221858,28.64,78.0
warm bodies,6.9,193579,66.36,59.0
blue jasmine,7.3,160592,33.4,78.0
g.i. joe: retaliation,5.8,152145,122.51,41.0
wrath of the titans,5.8,159230,83.64,37.0
shin gojira,6.9,8365,1.91,68.0
saving mr. banks,7.5,125693,83.3,65.0
transcendence,6.3,184564,23.01,42.0
rio,6.9,173919,143.62,63.0
equals,6.1,16361,0.03,43.0
babel,7.5,253417,34.3,69.0
the tree of life,6.8,143517,13.3,85.0
the lucky one,6.5,82874,60.44,39.0
piranha 3d,5.5,75262,25.0,53.0
50/50,7.7,281625,34.96,72.0
real steel,7.1,264480,85.46,56.0
sex and the city,5.5,102547,152.64,53.0
rambo,7.1,187077,42.72,46.0
the fall,7.9,93036,2.28,64.0
the ugly truth,6.5,172558,88.92,28.0
bride wars,5.5,83976,58.72,24.0
sleeping with other people,6.5,27730,0.81,64.0
snakes on a plane,5.6,118905,34.01,58.0
what if,6.8,55243,3.45,59.0
how to train your dragon 2,7.9,237565,177.0,76.0
robocop,6.2,190833,58.61,52.0
"hello, my name is doris",6.7,12361,14.44,63.0
ocean's thirteen,6.9,269581,117.14,62.0
slither,6.5,64351,7.77,69.0
contagion,6.6,187004,75.64,70.0
il racconto dei racconti - tale of tales,6.4,17565,0.08,72.0
bridge to terabithia,7.2,117297,82.23,74.0
coherence,7.2,66265,0.07,65.0
notorious,6.7,33007,36.84,60.0
goksung,7.5,17962,0.79,81.0
the expendables 2,6.6,257395,85.02,51.0
perfume: the story of a murderer,7.5,199387,2.21,56.0
the golden compass,6.1,155078,70.08,51.0
centurion,6.4,67801,0.12,62.0
scouts guide to the zombie apocalypse,6.3,31651,3.64,32.0
17 again,6.4,152808,64.15,48.0
no escape,6.8,57921,27.29,38.0
superman returns,6.1,246797,200.07,72.0
the twilight saga: breaking dawn - part 1,4.9,190244,281.28,45.0
precious,7.3,91623,47.54,79.0
the sea of trees,5.9,7475,0.02,23.0
footloose,5.9,39380,51.78,58.0
if i stay,6.8,92170,50.46,46.0
the love witch,6.2,4669,0.22,82.0
talladega nights: the ballad of ricky bobby,6.6,137502,148.21,66.0
the human centipede (first sequence),4.4,60655,0.18,33.0
super,6.8,64535,0.32,50.0
the midnight meat train,6.1,50255,0.07,58.0
the twilight saga: eclipse,4.9,192740,300.52,58.0
what's your number?,6.1,62095,13.99,35.0
riddick,6.4,132098,42.0,49.0
king cobra,5.6,3990,0.03,48.0
after earth,4.9,166512,60.52,33.0
kicks,6.1,2417,0.15,69.0
me and earl and the dying girl,7.8,92076,6.74,74.0
the descendants,7.3,211348,82.62,84.0
sex and the city 2,4.3,62403,95.33,27.0
the kings of summer,7.2,65653,1.29,61.0
death race,6.4,173731,36.06,43.0
that awkward moment,6.2,81823,26.05,36.0
legion,5.2,84158,40.17,32.0
end of watch,7.7,192190,40.98,68.0
3 days to kill,6.2,73567,30.69,40.0
lucky number slevin,7.8,271940,22.49,53.0
trance,7.0,97141,2.32,61.0
into the forest,5.9,10220,0.01,59.0
the other boleyn girl,6.7,88260,26.81,50.0
i spit on your grave,6.3,60133,0.09,27.0
texas chainsaw 3d,4.8,37060,34.33,62.0
rock of ages,5.9,64513,38.51,47.0
scream 4,6.2,108544,38.18,52.0
queen of katwe,7.4,6753,8.81,73.0
my big fat greek wedding 2,6.0,20966,59.57,37.0
the skin i live in,7.6,108772,3.19,70.0
miracles from heaven,7.0,12048,61.69,44.0
annie,5.3,27312,85.91,33.0
across the universe,7.4,95172,24.34,56.0
let's be cops,6.5,112729,82.39,30.0
max,6.8,21405,42.65,47.0
your highness,5.6,87904,21.56,31.0
final destination 5,5.9,88000,42.58,50.0
endless love,6.3,33688,23.39,30.0
underworld: rise of the lycans,6.6,129708,45.8,44.0
taare zameen par,8.5,102697,1.2,42.0
resident evil: afterlife,5.9,140900,60.13,37.0
project x,6.7,164088,54.72,48.0
hostel: part ii,5.5,73152,17.54,46.0
step up 2: the streets,6.2,70699,58.01,50.0
nine lives,5.3,12435,19.64,11.0
