title,rating,votes,revenue (millions),metascore
now you see me 2,6.5,156567,65.03,46.0
woman in gold,7.3,39723,33.31,51.0
13 hours,7.3,76935,52.82,48.0
spectre,6.8,308981,200.07,60.0
nightcrawler,7.9,332476,32.28,76.0
kubo and the two strings,7.9,72778,48.02,84.0
her,8.0,390531,25.56,90.0
frozen,7.5,451894,400.74,74.0
tomorrowland,6.5,143069,93.42,60.0
dawn of the planet of the apes,7.6,337777,208.54,79.0
tropic thunder,7.0,321442,110.42,71.0
the conjuring 2,7.4,137203,102.46,65.0
ant-man,7.3,368912,180.19,64.0
bridget jones's baby,6.7,43086,24.09,59.0
the vvitch: a new-england folktale,6.8,101781,25.14,83.0
cinderella,7.0,117018,201.15,67.0
forushande,8.0,22389,3.4,85.0
billy lynn's long halftime walk,6.3,11944,1.72,53.0
crimson peak,6.6,97454,31.06,66.0
drive,7.8,461509,35.05,78.0
trainwreck,6.3,106364,110.01,75.0
the light between oceans,7.2,27382,12.53,60.0
spotlight,8.1,268282,44.99,93.0
morgan,5.8,22107,3.91,48.0
warrior,8.2,355722,13.65,71.0
captain america: the first avenger,6.9,547368,176.64,66.0
into the wild,8.1,459304,18.35,73.0
the imitation game,8.1,532353,91.12,73.0
central intelligence,6.3,97082,127.38,52.0
edge of tomorrow,7.9,471815,100.19,71.0
a cure for wellness,6.5,12193,8.1,47.0
snowden,7.3,79855,21.48,58.0
iron man,7.9,737719,318.3,79.0
allegiant,5.7,70504,66.0,33.0
x: first class,7.8,550011,146.41,65.0
raw (ii),7.5,5435,0.51,81.0
paterson,7.5,26089,2.14,90.0
bridesmaids,6.8,227912,169.08,75.0
san andreas,6.1,161396,155.18,43.0
spring breakers,5.3,114290,14.12,63.0
transformers,7.1,531112,318.76,61.0
thor: the dark world,7.0,443584,206.36,54.0
gods of egypt,5.5,73568,31.14,25.0
captain america: the winter soldier,7.8,542362,259.75,70.0
monster trucks,5.7,7044,33.04,41.0
kick-ass,7.7,456749,48.04,66.0
hardcore henry,6.7,61098,9.24,51.0
cars,7.1,283445,244.05,73.0
it follows,6.9,136399,14.67,83.0
the girl with the dragon tattoo,7.8,348551,102.52,71.0
we're the millers,7.0,334867,150.37,44.0
american honey,7.0,19660,0.66,79.0
the lobster,7.1,121313,8.7,82.0
predators,6.4,179450,52.0,51.0
maleficent,7.0,268877,241.41,56.0
pan's labyrinth,8.2,498879,37.62,98.0
a kind of murder,5.2,3305,0.0,50.0
apocalypto,7.8,247926,50.86,68.0
mission: impossible - rogue nation,7.4,257472,195.0,75.0
the huntsman: winter's war,6.1,66766,47.95,35.0
the perks of being a wallflower,8.0,377336,17.74,67.0
jackie,6.8,41446,13.96,81.0
the disappointments room,3.9,4895,2.41,31.0
the grand budapest hotel,8.1,530881,59.07,88.0
the host,5.9,96852,26.62,35.0
fury,7.6,332234,85.71,64.0
inside out,8.2,416689,356.45,94.0
rock dog,5.8,1109,9.4,48.0
terminator genisys,6.5,205365,89.73,38.0
percy jackson & the olympians: the lightning thief,5.9,148949,88.76,47.0
les misérables,7.6,257426,148.78,63.0
children of men,7.9,382910,35.29,84.0
20th century women,7.4,14708,5.66,83.0
spy,7.1,188017,110.82,75.0
the intouchables,8.6,557965,13.18,57.0
bonjour anne,4.9,178,0.32,50.0
kynodontas,7.3,50946,0.11,73.0
straight outta compton,7.9,139831,161.03,72.0
the amazing spider-man 2,6.7,342183,202.85,53.0
the conjuring,7.5,330305,137.39,68.0
the hangover,7.8,611563,277.31,73.0
battleship,5.8,210349,65.17,41.0
rise of the planet of the apes,7.6,422290,176.74,68.0
lights out,6.4,69823,67.24,58.0
norman: the moderate rise and tragic fall of a new york fixer,7.1,664,2.27,76.0
birdman or (the unexpected virtue of ignorance),7.8,440299,42.34,88.0
black swan,8.0,581518,106.95,79.0
dear white people,6.2,21715,4.4,79.0
nymphomaniac: vol. i,7.0,90556,0.79,64.0
teenage mutant ninja turtles: out of the shadows,6.0,59312,0.54,40.0
knock knock,4.9,53441,0.03,53.0
dirty grandpa,6.0,75137,35.54,18.0
cloud atlas,7.5,298651,27.1,55.0
x-men origins: wolverine,6.7,388447,179.88,40.0
skyfall,7.8,547386,304.36,81.0
the hobbit: an unexpected journey,7.9,668651,303.0,58.0
21 jump street,7.2,432046,138.45,69.0
sing street,8.0,52144,3.23,79.0
oblivion,7.0,410125,89.02,54.0
22 jump street,7.1,280110,191.62,71.0
zodiac,7.7,329683,33.05,78.0
everybody wants some!!,7.0,36312,3.37,83.0
iron man three,7.2,591023,408.99,62.0
now you see me,7.3,492324,117.7,50.0
sherlock holmes,7.6,501769,209.02,57.0
the danish girl,7.0,110773,12.71,66.0
hercules,6.0,122838,72.66,47.0
sucker punch,6.1,204874,36.38,33.0
keeping up with the joneses,5.8,30405,14.9,34.0
jupiter ascending,5.3,150121,47.38,40.0
masterminds,5.8,26508,17.36,47.0
busanhaeng,7.5,58782,2.13,72.0
pitch perfect,7.2,226631,65.0,66.0
neighbors 2: sorority rising,5.7,76327,55.29,58.0
man of steel,7.1,577010,291.02,55.0
the choice,6.6,20514,18.71,26.0
ice age: collision course,5.7,34523,64.06,34.0
the devil wears prada,6.8,302268,124.73,62.0
the infiltrator,7.1,43929,15.43,66.0
there will be blood,8.1,400682,40.22,92.0
the equalizer,7.2,249425,101.53,57.0
lone survivor,7.5,218996,125.07,60.0
the cabin in the woods,7.0,295554,42.04,72.0
the house bunny,5.5,67033,48.24,55.0
she's out of my league,6.4,105619,31.58,46.0
inherent vice,6.7,69509,8.09,81.0
alice through the looking glass,6.2,57207,77.04,34.0
the fast and the furious: tokyo drift,6.0,193479,62.49,45.0
how to be single,6.1,59886,46.81,51.0
the blind side,7.7,237221,255.95,53.0
la vie d'adèle,7.8,103150,2.2,88.0
the babadook,6.8,132580,0.92,86.0
the hobbit: the battle of the five armies,7.4,385598,255.11,59.0
harry potter and the order of the phoenix,7.5,385325,292.0,71.0
snowpiercer,7.0,199048,4.56,84.0
the 5th wave,5.2,73093,34.91,33.0
the visit,6.2,81429,65.07,55.0
fast five,7.3,300803,209.81,66.0
step up,6.5,95960,65.27,48.0
lovesong,6.4,616,0.01,74.0
rocknrolla,7.3,203096,5.69,53.0
in time,6.7,319025,37.55,53.0
the social network,7.7,510100,96.92,95.0
the last witch hunter,6.0,71149,27.36,34.0
victor frankenstein,6.0,37975,5.77,36.0
a street cat named bob,7.4,12643,0.04,54.0
green room,7.0,62885,3.22,79.0
blackhat,5.4,43085,7.1,51.0
storks,6.9,34248,72.66,56.0
american sniper,7.3,353305,350.12,72.0
dallas buyers club,8.0,352801,27.3,84.0
lincoln,7.4,207497,182.2,86.0
rush,8.1,339722,26.9,75.0
silver linings playbook,7.8,564364,132.09,81.0
the fault in our stars,7.8,271301,124.87,69.0
blended,6.5,93764,46.28,31.0
fast & furious,6.6,217464,155.02,46.0
looper,7.4,452369,66.47,84.0
white house down,6.4,173320,73.1,52.0
pete's dragon,6.8,36322,76.2,71.0
spider-man 3,6.2,406219,336.53,59.0
the three musketeers,5.8,92329,20.32,35.0
stardust,7.7,220664,38.35,66.0
american hustle,7.3,379088,150.12,90.0
jennifer's body,5.1,96617,16.2,47.0
midnight in paris,7.7,320323,56.82,81.0
joy,6.6,97679,56.44,56.0
the dressmaker,7.1,33352,2.02,47.0
café society,6.7,45579,11.08,64.0
insurgent,6.3,171970,130.0,42.0
seventh son,5.5,59958,17.18,30.0
the theory of everything,7.7,299718,35.89,72.0
this is the end,6.6,327838,101.47,67.0
about time,7.8,221600,15.29,55.0
step brothers,6.9,223065,100.47,51.0
clown,5.7,14248,0.05,42.0
star trek into darkness,7.8,417663,228.76,72.0
zombieland,7.7,409403,75.59,73.0
"hail, caesar!",6.3,89059,30.0,72.0
slumdog millionaire,8.0,677044,141.32,86.0
the twilight saga: breaking dawn - part 2,5.5,194329,292.3,52.0
the amazing spider-man,7.0,474320,262.03,66.0
ben-hur,5.7,28326,26.38,38.0
sleight,6.0,702,3.85,62.0
the maze runner,6.8,335531,102.41,57.0
criminal,6.3,38430,14.27,36.0
wanted,6.7,312495,134.57,64.0
florence foster jenkins,6.9,31776,27.37,71.0
collide,5.7,7583,2.2,33.0
black mass,6.9,135706,62.56,68.0
creed,7.6,175673,109.71,82.0
swiss army man,7.1,61812,4.21,64.0
the expendables 3,6.1,137568,39.29,35.0
what we do in the shadows,7.6,84016,3.33,76.0
southpaw,7.4,169083,52.42,57.0
bridge of spies,7.6,217938,72.31,81.0
the lego movie,7.8,266508,257.76,83.0
everest,7.1,154647,43.25,64.0
pixels,5.6,101092,78.75,27.0
robin hood,6.7,221117,105.22,53.0
the wolverine,6.7,355362,132.55,60.0
john carter,6.6,220667,73.06,51.0
keanu,6.3,31913,20.57,63.0
the gunman,5.8,31194,10.64,39.0
steve jobs,7.2,116112,17.75,82.0
grown ups 2,5.4,114482,133.67,19.0
the age of adaline,7.2,112288,42.48,51.0
the incredible hulk,6.8,342355,134.52,61.0
couples retreat,5.5,86417,109.18,23.0
magic mike,6.1,113686,113.71,72.0
minions,6.4,159830,336.03,56.0
despicable me,7.7,410607,251.5,72.0
the best of me,6.7,49041,26.76,29.0
the invitation,6.7,40529,0.23,74.0
zero dark thirty,7.4,226661,95.72,95.0
tangled,7.8,316459,200.81,71.0
the hunger games: mockingjay - part 2,6.6,202380,281.67,65.0
vacation,6.1,74589,58.88,34.0
taken,7.8,502961,145.0,50.0
pitch perfect 2,6.5,108306,183.44,63.0
monsters university,7.3,252119,268.49,65.0
mechanic: resurrection,5.6,48161,21.2,38.0
tusk,5.4,34546,1.82,55.0
harry potter and the deathly hallows: part 1,7.7,357213,294.98,65.0
shame,7.2,155010,4.0,72.0
hanna,6.8,164208,40.25,65.0
the babysitters,5.7,8914,0.04,35.0
pride and prejudice and zombies,5.8,35003,10.91,45.0
300: rise of an empire,6.2,237887,106.37,48.0
london has fallen,5.9,100702,62.4,28.0
the curious case of benjamin button,7.8,485075,127.49,70.0
sin city: a dame to kill for,6.5,122185,13.75,46.0
the bourne ultimatum,8.1,525700,227.14,85.0
3 idiots,8.4,238789,6.52,67.0
zoolander 2,4.7,48297,28.84,34.0
world war z,7.0,494819,202.35,63.0
mission: impossible - ghost protocol,7.4,382459,209.36,73.0
